Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks*,66,16165,.454,13.2,,.751,.277,.153,.074,.247,.249,,.482,.630,.430,.397,.373,.370,,.532,.915,,.048,233,,.225,699,,.340,.398,,8,1
2,Boston Celtics*,66,15940,.460,12.9,,.806,.280,.116,.145,.266,.194,,.483,.637,.333,.418,.420,.367,,.620,.909,,.049,223,,.228,670,,.309,.439,,4,0
3,Charlotte Bobcats,66,15890,.414,12.8,,.831,.290,.125,.108,.309,.169,,.439,.592,.322,.377,.363,.295,,.584,.757,,.049,229,,.231,647,,.158,.340,,12,0
4,Chicago Bulls*,66,15940,.452,12.6,,.795,.297,.142,.116,.241,.205,,.471,.605,.415,.405,.372,.375,,.581,.807,,.046,231,,.235,717,,.261,.375,,13,0
5,Cleveland Cavaliers,66,15965,.422,11.7,,.763,.326,.188,.081,.167,.238,,.446,.599,.322,.326,.343,.346,,.516,.836,,.044,211,,.263,799,,.236,.359,,6,0
6,Dallas Mavericks*,66,16065,.443,13.4,,.729,.240,.167,.148,.175,.271,,.482,.658,.355,.409,.422,.339,,.509,.829,,.051,248,,.174,568,,.228,.350,,10,0
7,Denver Nuggets*,66,16040,.476,11.0,,.757,.404,.151,.077,.125,.243,,.522,.645,.372,.392,.386,.332,,.553,.920,,.078,386,,.315,993,,.313,.361,,22,1
8,Detroit Pistons,66,15965,.438,11.4,,.825,.329,.172,.107,.216,.175,,.457,.589,.360,.375,.376,.346,,.488,.849,,.035,145,,.268,782,,.239,.356,,14,0
9,Golden State Warriors,66,15915,.457,13.4,,.752,.259,.166,.091,.236,.248,,.480,.647,.343,.428,.413,.388,,.516,.870,,.049,241,,.198,639,,.274,.457,,13,1
10,Houston Rockets,66,16065,.449,12.7,,.760,.250,.202,.120,.189,.240,,.477,.655,.374,.398,.403,.359,,.504,.816,,.036,173,,.221,762,,.287,.435,,9,0
11,Indiana Pacers*,66,15990,.438,11.9,,.802,.269,.219,.127,.187,.198,,.455,.584,.404,.382,.379,.368,,.455,.855,,.038,178,,.227,674,,.277,.363,,12,1
