Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks*,82,19730,.462,13.5,,.778,.233,.175,.097,.274,.222,,.494,.649,.434,.390,.436,.352,,.550,.882,,.045,263,,.182,692,,.349,.380,,13,1
2,Boston Celtics*,82,19780,.486,12.1,,.820,.313,.140,.113,.254,.180,,.513,.674,.376,.445,.420,.365,,.597,.882,,.043,256,,.265,1041,,.260,.467,,8,0
3,Charlotte Bobcats,82,19805,.451,12.0,,.811,.334,.145,.097,.235,.189,,.480,.610,.354,.395,.410,.327,,.560,.860,,.045,242,,.275,995,,.187,.373,,18,0
4,Chicago Bulls*,82,19830,.462,12.5,,.785,.304,.151,.102,.229,.215,,.489,.638,.389,.404,.397,.361,,.548,.863,,.052,314,,.257,986,,.275,.373,,17,0
5,Cleveland Cavaliers,82,19755,.434,12.3,,.776,.296,.179,.097,.203,.224,,.461,.610,.355,.333,.398,.342,,.542,.847,,.051,312,,.239,874,,.234,.370,,7,0
6,Dallas Mavericks*,82,19705,.475,13.6,,.726,.240,.162,.125,.199,.274,,.516,.684,.407,.423,.461,.365,,.565,.905,,.053,321,,.181,723,,.293,.392,,18,1
7,Denver Nuggets*,82,19705,.476,12.3,,.742,.349,.133,.074,.186,.258,,.506,.633,.371,.378,.414,.388,,.497,.875,,.059,355,,.290,1122,,.286,.400,,17,1
8,Detroit Pistons,82,19880,.460,12.0,,.811,.307,.150,.132,.222,.189,,.479,.634,.376,.376,.396,.376,,.507,.892,,.043,246,,.249,987,,.365,.397,,18,1
9,Golden State Warriors,82,19830,.461,13.0,,.752,.276,.169,.093,.214,.248,,.484,.656,.370,.349,.412,.392,,.489,.866,,.048,317,,.212,925,,.295,.432,,19,1
10,Houston Rockets,82,19880,.454,12.9,,.736,.263,.203,.092,.177,.264,,.486,.644,.394,.405,.398,.367,,.553,.851,,.026,165,,.247,1063,,.227,.400,,15,0
11,Indiana Pacers*,82,19780,.442,13.2,,.756,.245,.182,.116,.213,.244,,.471,.627,.402,.397,.391,.354,,.450,.892,,.047,288,,.202,806,,.203,.394,,11,0
12,Los Angeles Clippers,82,19855,.457,12.1,,.770,.307,.199,.081,.183,.230,,.493,.664,.393,.369,.368,.338,,.548,.864,,.085,502,,.227,883,,.254,.319,,18,0
