Rk,Team,ATL,BOS,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,BRK,NLP,NYK,ORL,PHI,PHO,POR,SAC,SAS,OKC,TOR,UTA,WAS
1,Atlanta Hawks,,0.75,0.25,0.0,0.25,0.0,0.5,0.3333,1.0,0.5,0.25,1.0,0.0,1.0,0.0,0.3333,1.0,0.3333,0.0,0.3333,0.75,0.25,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.25
2,Boston Celtics,0.25,,0.5,0.0,0.3333,0.0,0.5,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.3333,0.5,0.5,0.5,0.0,0.75,0.25,0.25,0.0,1.0,0.0,0.5,0.5,0.25,0.0,0.0
3,Charlotte Hornets,0.75,0.5,,0.3333,0.5,0.0,0.5,0.5,0.5,0.0,0.3333,0.0,1.0,0.0,0.5,0.5,0.5,0.3333,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5
4,Chicago Bulls,1.0,1.0,0.6667,,0.5,0.5,0.5,0.75,0.5,0.0,0.75,0.0,0.5,0.5,0.75,1.0,0.0,0.25,1.0,0.75,0.3333,0.6667,0.5,1.0,0.0,0.5,1.0,0.5,0.0,0.75
5,Cleveland Cavaliers,0.75,0.6667,0.5,0.5,,0.0,0.0,0.25,1.0,0.5,0.75,1.0,1.0,1.0,0.25,1.0,1.0,0.6667,0.5,0.5,0.3333,0.75,0.0,0.5,1.0,1.0,0.5,0.75,0.5,0.6667
6,Dallas Mavericks,1.0,1.0,1.0,0.5,1.0,,0.75,0.5,0.0,0.75,1.0,0.6667,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,0.3333,0.5
7,Denver Nuggets,0.5,0.5,0.5,0.5,1.0,0.25,,0.0,0.75,0.3333,1.0,0.6667,0.75,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.3333,0.75,0.5,0.3333,0.75,0.5,0.25,0.5
8,Detroit Pistons,0.6667,1.0,0.5,0.25,0.75,0.5,1.0,,0.0,0.5,0.5,1.0,1.0,1.0,0.6667,0.75,0.5,1.0,0.5,0.6667,1.0,0.75,0.5,0.5,0.5,0.0,1.0,0.6667,0.0,0.5
9,Golden State Warriors,0.0,1.0,0.5,0.5,0.0,1.0,0.25,1.0,,0.6667,0.5,0.5,0.0,0.75,0.0,0.0,0.6667,0.5,0.75,0.5,0.5,1.0,0.25,0.6667,0.75,0.25,0.75,0.5,0.5,0.5
10,Houston Rockets,0.5,0.5,1.0,1.0,0.5,0.25,0.6667,0.5,0.3333,,0.5,0.75,0.5,1.0,1.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,0.25,0.5,1.0,0.5,1.0,0.5,0.25,1.0
11,Indiana Pacers,0.75,0.75,0.6667,0.25,0.25,0.0,0.0,0.5,0.5,0.5,,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.6667,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.3333,0.0,0.0
12,Los Angeles Clippers,0.0,1.0,1.0,1.0,0.0,0.3333,0.3333,0.0,0.5,0.25,0.5,,0.5,1.0,1.0,1.0,0.3333,0.5,0.5,0.5,0.5,1.0,0.5,0.75,0.5,0.0,0.5,0.0,0.25,0.5
13,Los Angeles Lakers,1.0,1.0,0.0,0.5,0.0,0.25,0.25,0.0,1.0,0.5,0.5,0.5,,0.5,0.5,0.0,0.75,1.0,0.3333,0.0,1.0,0.5,0.25,0.3333,0.75,0.6667,0.75,0.5,0.6667,0.5
14,Memphis Grizzlies,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.5,,0.0,0.0,0.6667,0.0,0.25,0.0,0.5,0.5,0.0,0.5,0.3333,0.25,0.3333,0.5,0.25,0.5
15,Miami Heat,1.0,0.6667,0.5,0.25,0.75,0.0,0.0,0.3333,1.0,0.0,0.5,0.0,0.5,1.0,,0.6667,1.0,0.75,0.5,0.25,0.0,0.25,0.0,1.0,1.0,0.5,1.0,0.6667,1.0,0.75
16,Milwaukee Bucks,0.6667,0.5,0.5,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,1.0,1.0,0.3333,,1.0,0.3333,0.0,0.25,0.25,0.6667,0.0,0.5,0.5,1.0,0.5,0.25,0.0,0.25
17,Minnesota Timberwolves,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.3333,0.5,1.0,0.6667,0.25,0.3333,0.0,0.0,,0.5,0.25,1.0,0.5,1.0,0.25,0.5,0.5,0.3333,0.25,0.0,0.25,0.5
18,Brooklyn Nets,0.6667,0.5,0.6667,0.75,0.3333,0.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.25,0.6667,0.5,,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0
19,New Orleans Pelicans,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.25,0.75,0.5,0.5,0.6667,0.75,0.5,1.0,0.75,0.5,,1.0,0.5,0.0,0.0,0.3333,0.75,0.0,0.5,0.0,0.3333,0.5
20,New York Knicks,0.6667,0.25,0.5,0.25,0.5,0.0,0.5,0.3333,0.5,0.0,0.3333,0.5,1.0,1.0,0.75,0.75,0.0,0.0,0.0,,0.6667,0.25,0.0,0.5,0.5,0.0,0.5,0.25,0.5,0.5
21,Orlando Magic,0.25,0.75,0.5,0.6667,0.6667,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.75,0.5,0.5,0.5,0.3333,,0.6667,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.5
22,Philadelphia 76ers,0.75,0.75,0.5,0.3333,0.25,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.5,0.5,0.75,0.3333,0.0,0.5,1.0,0.75,0.3333,,0.5,0.5,0.5,0.0,1.0,0.25,0.5,0.0
23,Phoenix Suns,0.5,1.0,1.0,0.5,1.0,0.5,0.6667,0.5,0.75,0.75,1.0,0.5,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,,1.0,0.75,0.3333,0.6667,1.0,0.25,0.5
24,Portland Trail Blazers,0.5,0.0,1.0,0.0,0.5,0.0,0.25,0.5,0.3333,0.5,0.0,0.25,0.6667,0.5,0.0,0.5,0.5,1.0,0.6667,0.5,0.0,0.5,0.0,,0.5,0.0,0.5,0.5,0.5,1.0
25,Sacramento Kings,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.25,0.0,1.0,0.5,0.25,0.6667,0.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5,,0.0,0.6667,0.5,0.6667,0.0
26,San Antonio Spurs,1.0,0.5,0.5,0.5,0.0,0.25,0.6667,1.0,0.75,0.5,0.5,1.0,0.3333,0.75,0.5,0.0,0.6667,1.0,1.0,1.0,0.5,1.0,0.6667,1.0,1.0,,1.0,1.0,0.5,1.0
27,Oklahoma City Thunder,1.0,0.5,1.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,1.0,0.5,0.25,0.6667,0.0,0.5,0.75,1.0,0.5,0.5,0.0,0.0,0.3333,0.5,0.3333,0.0,,0.5,0.5,0.0
28,Toronto Raptors,0.5,0.75,1.0,0.5,0.25,0.0,0.5,0.3333,0.5,0.5,0.6667,1.0,0.5,0.5,0.3333,0.75,1.0,0.5,1.0,0.75,1.0,0.75,0.0,0.5,0.5,0.0,0.5,,0.0,0.75
29,Utah Jazz,1.0,1.0,0.5,1.0,0.5,0.6667,0.75,1.0,0.5,0.75,1.0,0.75,0.3333,0.75,0.0,1.0,0.75,0.0,0.6667,0.5,0.0,0.5,0.75,0.5,0.3333,0.5,0.5,1.0,,0.5
30,Washington Wizards,0.75,1.0,0.5,0.25,0.3333,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.25,0.75,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.0,1.0,0.25,0.5,
