Rk,Team,ATL,BOS,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,BRK,NLP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,1.0,0.5,0.75,0.25,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.25,0.6667,1.0,1.0,0.5,0.25,0.0,0.25,0.6667,0.5,1.0,1.0,0.5,0.75,1.0,1.0
2,Boston Celtics,0.0,,1.0,0.5,0.5,0.5,0.5,0.6667,0.5,0.5,0.6667,0.5,0.5,0.5,1.0,0.5,1.0,0.75,0.5,0.75,0.5,0.25,0.75,0.0,1.0,1.0,0.5,1.0,0.5,0.75
3,Charlotte Hornets,0.5,0.0,,0.25,0.75,0.0,0.5,0.6667,1.0,0.5,0.3333,0.5,0.5,1.0,0.75,0.5,1.0,0.5,0.5,0.5,0.5,0.25,0.75,1.0,0.0,1.0,0.5,0.3333,0.0,1.0
4,Chicago Bulls,0.25,0.5,0.75,,0.5,0.0,0.0,1.0,0.5,1.0,0.75,0.0,0.0,0.0,0.25,0.25,1.0,0.3333,1.0,0.75,0.5,0.3333,0.75,0.5,0.5,0.5,1.0,0.3333,0.0,0.6667
5,Cleveland Cavaliers,0.75,0.5,0.25,0.5,,0.5,0.0,1.0,1.0,0.5,0.75,1.0,1.0,0.5,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.75,0.5,0.6667
6,Dallas Mavericks,0.5,0.5,1.0,1.0,0.5,,0.6667,1.0,0.75,0.5,1.0,1.0,0.5,0.75,1.0,1.0,0.75,1.0,0.5,0.5,0.5,0.5,0.5,0.6667,0.25,1.0,0.75,0.5,0.3333,0.5
7,Denver Nuggets,0.5,0.5,0.5,1.0,1.0,0.3333,,0.5,1.0,0.6667,1.0,0.6667,0.75,0.75,0.5,0.0,0.75,1.0,0.75,0.5,0.75,0.5,0.5,0.25,0.75,0.3333,0.5,1.0,0.75,0.5
8,Detroit Pistons,0.5,0.3333,0.3333,0.0,0.0,0.0,0.5,,0.5,0.5,0.0,0.0,0.0,0.5,0.3333,0.5,1.0,0.6667,0.5,0.25,0.0,0.25,0.75,0.0,0.0,0.5,0.5,0.0,0.0,1.0
9,Golden State Warriors,0.5,0.5,0.0,0.5,0.0,0.25,0.0,0.5,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.25,1.0,0.25,0.0,0.0,0.25,0.5,0.5,0.0,1.0,0.0,0.0
10,Houston Rockets,0.0,0.5,0.5,0.0,0.5,0.5,0.3333,0.5,1.0,,0.0,0.6667,0.25,1.0,0.0,1.0,1.0,1.0,0.25,1.0,0.75,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0
11,Indiana Pacers,0.0,0.3333,0.6667,0.25,0.25,0.0,0.0,1.0,0.5,1.0,,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.25,0.6667,0.5,0.0,0.5,0.0,0.5,0.5,0.75
12,Los Angeles Clippers,0.0,0.5,0.5,1.0,0.0,0.0,0.3333,1.0,0.5,0.3333,0.5,,0.5,0.5,0.5,0.5,0.75,0.5,0.0,0.0,0.3333,0.0,1.0,0.0,0.25,0.25,0.0,0.0,0.25,1.0
13,Los Angeles Lakers,0.5,0.5,0.5,1.0,0.0,0.5,0.25,1.0,1.0,0.75,1.0,0.5,,0.6667,0.5,1.0,1.0,1.0,0.6667,1.0,0.75,0.5,1.0,0.75,0.3333,1.0,0.5,0.5,0.75,1.0
14,Memphis Grizzlies,0.0,0.5,0.0,1.0,0.5,0.25,0.25,0.5,0.5,0.0,1.0,0.5,0.3333,,0.5,0.0,0.75,1.0,0.5,1.0,0.3333,0.5,0.5,0.5,0.5,0.6667,0.5,1.0,0.3333,1.0
15,Miami Heat,0.75,0.0,0.25,0.75,0.0,0.0,0.5,0.6667,1.0,1.0,1.0,0.5,0.5,0.5,,0.25,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.75
16,Milwaukee Bucks,0.3333,0.5,0.5,0.75,0.25,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,1.0,0.75,,1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.6667,0.5,0.5
17,Minnesota Timberwolves,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.5,0.0,,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5
18,Brooklyn Nets,0.0,0.25,0.5,0.6667,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,New Orleans Pelicans,0.5,0.5,0.5,0.0,0.0,0.5,0.25,0.5,0.75,0.75,1.0,1.0,0.3333,0.5,0.5,0.5,1.0,0.5,,0.0,0.3333,0.5,0.0,0.25,0.3333,0.6667,0.0,0.0,0.25,0.5
20,New York Knicks,0.75,0.25,0.5,0.25,0.0,0.5,0.5,0.75,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,,0.0,0.0,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.75
21,Oklahoma City Thunder,1.0,0.5,0.5,0.5,0.0,0.5,0.25,1.0,0.75,0.25,0.5,0.6667,0.25,0.6667,1.0,0.5,1.0,1.0,0.6667,1.0,,0.5,1.0,0.6667,0.25,0.75,0.25,1.0,0.75,1.0
22,Orlando Magic,0.75,0.75,0.75,0.6667,0.5,0.5,0.5,0.75,1.0,1.0,0.75,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,,1.0,0.5,0.5,1.0,0.5,0.75,0.5,0.5
23,Philadelphia 76ers,0.3333,0.25,0.25,0.25,0.0,0.5,0.5,0.25,1.0,0.5,0.3333,0.0,0.0,0.5,0.0,0.5,0.5,1.0,1.0,0.25,0.0,0.0,,0.0,0.5,1.0,0.5,0.25,0.0,0.0
24,Phoenix Suns,0.5,1.0,0.0,0.5,0.0,0.3333,0.75,1.0,0.75,1.0,0.5,1.0,0.25,0.5,0.5,0.5,1.0,1.0,0.75,0.5,0.3333,0.5,1.0,,0.3333,1.0,0.6667,1.0,0.5,1.0
25,Portland Trail Blazers,0.0,0.0,1.0,0.5,0.0,0.75,0.25,1.0,0.5,0.5,1.0,0.75,0.6667,0.5,0.5,0.5,1.0,1.0,0.6667,0.5,0.75,0.5,0.5,0.6667,,1.0,1.0,1.0,0.0,0.5
26,Sacramento Kings,0.0,0.0,0.0,0.5,0.0,0.0,0.6667,0.5,0.5,0.5,0.5,0.75,0.0,0.3333,0.0,0.5,0.5,0.5,0.3333,1.0,0.25,0.0,0.0,0.0,0.0,,0.0,0.5,0.6667,0.5
27,San Antonio Spurs,0.5,0.5,0.5,0.0,0.5,0.25,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.5,0.5,0.3333,0.0,1.0,,0.5,0.0,1.0
28,Toronto Raptors,0.25,0.0,0.6667,0.6667,0.25,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.3333,1.0,1.0,1.0,1.0,0.0,0.25,0.75,0.0,0.0,0.5,0.5,,0.0,0.6667
29,Utah Jazz,0.0,0.5,1.0,1.0,0.5,0.6667,0.25,1.0,1.0,0.5,0.5,0.75,0.25,0.6667,0.5,0.5,0.5,1.0,0.75,1.0,0.25,0.5,1.0,0.5,1.0,0.3333,1.0,1.0,,1.0
30,Washington Wizards,0.0,0.25,0.0,0.3333,0.3333,0.5,0.5,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.5,1.0,0.5,0.25,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.3333,0.0,
