Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
2,Boston Celtics*,82,19755,.475,12.7,,.751,.320,.118,.102,.211,.249,,.506,.615,.405,.405,.447,.381,,.549,.874,,.045,267,,.270,967,,.253,.410,,15,0
3,Charlotte Bobcats,82,19880,.452,12.0,,.780,.338,.114,.098,.229,.220,,.476,.586,.412,.358,.395,.367,,.526,.888,,.053,308,,.274,954,,.351,.372,,6,0
4,Chicago Bulls,82,19805,.435,12.6,,.810,.306,.102,.120,.282,.190,,.452,.537,.392,.384,.411,.363,,.556,.873,,.046,284,,.239,800,,.232,.396,,11,0
5,Cleveland Cavaliers*,82,19855,.439,12.7,,.769,.321,.105,.106,.238,.231,,.463,.602,.366,.357,.365,.358,,.498,.821,,.041,251,,.252,944,,.345,.383,,9,0
6,Dallas Mavericks*,82,19730,.464,13.0,,.785,.264,.108,.170,.243,.215,,.495,.611,.398,.438,.453,.352,,.503,.903,,.039,239,,.209,759,,.279,.371,,19,0
7,Denver Nuggets*,82,19855,.470,11.9,,.772,.362,.102,.100,.208,.228,,.504,.622,.400,.392,.404,.355,,.551,.907,,.076,488,,.259,1023,,.241,.403,,32,0
8,Detroit Pistons*,82,19730,.458,13.5,,.797,.265,.085,.153,.295,.203,,.481,.613,.392,.405,.428,.366,,.566,.842,,.047,278,,.199,738,,.259,.366,,14,0
9,Golden State Warriors,82,19780,.459,12.7,,.705,.345,.121,.068,.171,.295,,.506,.634,.378,.378,.390,.348,,.459,.815,,.047,319,,.281,1236,,.245,.390,,21,0
10,Houston Rockets*,82,19730,.448,12.7,,.745,.315,.127,.096,.206,.255,,.485,.593,.410,.404,.403,.342,,.522,.846,,.040,243,,.260,955,,.204,.375,,12,0
11,Indiana Pacers,82,19755,.444,14.0,,.711,.246,.138,.111,.216,.289,,.472,.616,.423,.380,.386,.374,,.496,.927,,.030,193,,.223,921,,.188,.398,,10,0
12,Los Angeles Clippers,82,19805,.438,12.9,,.833,.261,.128,.153,.291,.167,,.460,.592,.428,.387,.395,.324,,.571,.917,,.034,202,,.212,747,,.151,.362,,16,2
13,Los Angeles Lakers*,82,19780,.476,12.6,,.743,.328,.109,.093,.213,.257,,.510,.632,.427,.389,.417,.378,,.554,.863,,.069,439,,.248,953,,.280,.422,,13,0
14,Memphis Grizzlies,82,19805,.454,12.4,,.736,.324,.142,.093,.178,.264,,.492,.610,.424,.362,.399,.349,,.420,.887,,.054,336,,.252,938,,.197,.389,,29,0
15,Miami Heat,82,19830,.443,13.4,,.783,.268,.115,.107,.294,.217,,.467,.614,.391,.370,.397,.358,,.534,.829,,.051,284,,.200,699,,.221,.403,,11,0
16,Milwaukee Bucks,82,19855,.449,11.6,,.805,.330,.149,.117,.210,.195,,.474,.561,.411,.381,.433,.344,,.535,.847,,.047,288,,.248,865,,.260,.411,,11,0
17,Minnesota Timberwolves,82,19730,.451,11.6,,.815,.306,.181,.122,.206,.185,,.474,.589,.430,.379,.399,.350,,.474,.862,,.035,210,,.253,942,,.191,.358,,27,0
18,New Jersey Nets,82,19830,.443,12.4,,.778,.347,.085,.090,.256,.222,,.470,.563,.365,.402,.403,.348,,.632,.873,,.068,384,,.260,824,,.259,.424,,23,0
19,New Orleans Hornets*,82,19805,.466,12.8,,.761,.284,.137,.113,.227,.239,,.490,.617,.427,.400,.413,.389,,.484,.887,,.057,361,,.204,759,,.289,.439,,7,1
20,New York Knicks,82,19880,.439,11.5,,.785,.353,.137,.101,.194,.215,,.467,.554,.406,.365,.406,.337,,.461,.792,,.044,266,,.284,975,,.249,.362,,21,1
21,Orlando Magic*,82,19780,.474,12.8,,.678,.325,.126,.096,.132,.322,,.516,.635,.414,.405,.401,.386,,.446,.873,,.071,423,,.235,858,,.334,.413,,18,0
22,Philadelphia 76ers*,82,19755,.460,10.9,,.857,.359,.116,.154,.227,.143,,.483,.614,.402,.396,.378,.317,,.516,.831,,.074,459,,.273,961,,.261,.367,,23,1
23,Phoenix Suns*,82,19780,.500,12.7,,.740,.310,.116,.102,.211,.260,,.538,.671,.440,.439,.444,.393,,.600,.818,,.066,422,,.233,961,,.322,.401,,5,0
24,Portland Trail Blazers,82,19905,.448,14.1,,.782,.214,.137,.121,.311,.218,,.468,.603,.430,.407,.416,.377,,.516,.920,,.048,276,,.153,531,,.379,.409,,29,1
25,Sacramento Kings,82,19830,.464,12.0,,.792,.330,.124,.098,.239,.208,,.488,.599,.391,.397,.423,.373,,.451,.833,,.044,273,,.270,991,,.267,.389,,8,0
26,San Antonio Spurs*,82,19730,.457,13.2,,.749,.248,.157,.116,.227,.251,,.487,.649,.401,.402,.413,.369,,.498,.928,,.017,94,,.225,923,,.414,.401,,11,0
27,Seattle SuperSonics,82,19830,.444,11.6,,.866,.287,.159,.144,.277,.134,,.462,.594,.390,.377,.408,.333,,.527,.850,,.057,363,,.209,774,,.243,.377,,5,0
28,Toronto Raptors*,82,19830,.468,13.6,,.783,.272,.085,.111,.314,.217,,.489,.603,.443,.426,.425,.392,,.549,.944,,.053,317,,.202,733,,.311,.412,,19,3
29,Utah Jazz*,82,19705,.497,11.2,,.834,.375,.099,.100,.260,.166,,.522,.641,.425,.416,.429,.372,,.629,.882,,.057,341,,.298,1167,,.195,.404,,19,0
30,Washington Wizards*,82,19905,.446,13.0,,.759,.285,.145,.098,.231,.241,,.475,.633,.384,.353,.388,.356,,.474,.805,,.043,283,,.225,849,,.181,.380,,7,0
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks*,82,19705,.458,13.3,,.747,.267,.160,.101,.219,.253,,.490,.627,.461,.403,.384,.366,,.483,.868,,.055,314,,.211,790,,.285,.400,,17,0
2,Boston Celtics*,82,19880,.486,12.1,,.786,.332,.123,.109,.223,.214,,.510,.633,.402,.411,.434,.397,,.541,.911,,.044,266,,.281,1042,,.301,.446,,5,0
3,Charlotte Bobcats,82,19930,.455,11.6,,.787,.368,.119,.082,.219,.213,,.479,.566,.384,.398,.415,.366,,.539,.939,,.047,274,,.307,1002,,.299,.385,,18,1
4,Chicago Bulls*,82,19930,.457,12.4,,.811,.330,.084,.104,.293,.189,,.474,.574,.386,.387,.418,.381,,.505,.817,,.048,300,,.265,951,,.246,.374,,13,0
5,Cleveland Cavaliers*,82,19780,.468,13.7,,.741,.278,.101,.101,.262,.259,,.495,.644,.385,.391,.418,.393,,.484,.790,,.049,289,,.210,801,,.351,.412,,10,0
6,Dallas Mavericks*,82,19805,.462,13.4,,.759,.266,.089,.162,.242,.241,,.498,.601,.402,.443,.456,.350,,.506,.851,,.042,262,,.211,774,,.282,.335,,17,1
7,Denver Nuggets*,82,19730,.470,11.8,,.773,.376,.100,.081,.216,.227,,.499,.616,.407,.327,.401,.371,,.555,.777,,.088,523,,.266,924,,.193,.389,,18,1
8,Detroit Pistons*,82,19905,.454,12.7,,.835,.284,.091,.156,.304,.165,,.475,.587,.477,.405,.406,.349,,.510,.955,,.039,233,,.229,812,,.380,.380,,11,0
9,Golden State Warriors,82,19880,.458,12.6,,.791,.308,.138,.092,.252,.209,,.480,.632,.362,.366,.402,.373,,.468,.827,,.044,290,,.247,1036,,.224,.461,,18,1
10,Houston Rockets*,82,19805,.453,12.3,,.746,.309,.160,.111,.166,.254,,.480,.568,.450,.409,.393,.375,,.492,.824,,.033,195,,.265,922,,.194,.383,,25,0
11,Indiana Pacers,82,19830,.455,12.9,,.756,.295,.135,.103,.223,.244,,.480,.592,.413,.410,.403,.378,,.454,.933,,.026,167,,.261,1051,,.174,.370,,9,0
12,Los Angeles Clippers,82,19880,.441,12.2,,.774,.336,.119,.102,.218,.226,,.467,.582,.400,.347,.382,.354,,.525,.847,,.045,260,,.265,957,,.180,.426,,30,3
13,Los Angeles Lakers*,82,19780,.474,11.9,,.783,.320,.148,.119,.196,.217,,.505,.616,.440,.443,.410,.361,,.522,.854,,.068,442,,.231,872,,.274,.366,,14,0
14,Memphis Grizzlies,82,19805,.454,11.4,,.825,.332,.164,.102,.227,.175,,.474,.573,.405,.398,.414,.360,,.433,.892,,.070,406,,.248,759,,.252,.394,,13,0
15,Miami Heat*,82,19955,.457,13.3,,.755,.275,.119,.114,.247,.245,,.489,.619,.423,.412,.411,.357,,.485,.826,,.062,363,,.199,722,,.288,.364,,22,0
16,Milwaukee Bucks,82,19780,.445,12.4,,.792,.305,.118,.125,.243,.208,,.467,.568,.437,.384,.398,.363,,.539,.892,,.043,257,,.243,861,,.304,.400,,8,1
17,Minnesota Timberwolves,82,19805,.441,11.9,,.773,.332,.137,.107,.196,.227,,.467,.571,.400,.365,.395,.353,,.491,.875,,.031,186,,.280,1017,,.292,.411,,18,0
18,New Jersey Nets,82,19830,.448,12.8,,.735,.330,.088,.102,.215,.265,,.473,.578,.416,.375,.383,.376,,.478,.842,,.051,304,,.260,893,,.307,.451,,9,0
19,New Orleans Hornets*,82,19755,.457,12.8,,.760,.276,.134,.137,.213,.240,,.487,.613,.451,.387,.410,.364,,.471,.899,,.056,325,,.202,714,,.330,.414,,9,0
20,New York Knicks,82,19805,.445,12.8,,.678,.349,.091,.084,.154,.322,,.486,.576,.412,.364,.391,.360,,.447,.843,,.037,235,,.299,1150,,.239,.382,,19,0
21,Oklahoma City Thunder,82,19805,.447,11.0,,.859,.338,.134,.138,.248,.141,,.463,.606,.358,.388,.368,.346,,.515,.878,,.071,429,,.250,885,,.217,.345,,12,0
22,Orlando Magic*,82,19730,.457,13.6,,.665,.282,.127,.101,.155,.335,,.495,.623,.405,.424,.381,.381,,.417,.871,,.054,327,,.215,761,,.303,.395,,11,0
23,Philadelphia 76ers*,82,19755,.459,10.8,,.836,.382,.112,.138,.204,.164,,.486,.598,.385,.397,.394,.318,,.516,.809,,.074,458,,.293,984,,.285,.348,,15,1
24,Phoenix Suns,82,19755,.504,10.9,,.784,.363,.164,.100,.158,.216,,.537,.665,.442,.387,.437,.383,,.520,.796,,.078,471,,.271,1105,,.297,.394,,18,0
25,Portland Trail Blazers*,82,19830,.465,12.8,,.761,.294,.126,.109,.231,.239,,.490,.621,.419,.382,.414,.383,,.467,.901,,.075,437,,.198,693,,.395,.402,,29,1
26,Sacramento Kings,82,19905,.447,12.7,,.762,.290,.141,.103,.229,.238,,.472,.596,.378,.408,.402,.368,,.481,.790,,.044,268,,.227,840,,.269,.421,,17,0
27,San Antonio Spurs*,82,19905,.466,13.4,,.752,.253,.140,.109,.250,.248,,.492,.616,.456,.405,.424,.386,,.489,.885,,.012,75,,.234,914,,.376,.394,,9,0
28,Toronto Raptors,82,19805,.458,13.1,,.807,.264,.117,.132,.294,.193,,.478,.601,.420,.375,.438,.372,,.543,.910,,.054,318,,.193,692,,.247,.421,,16,0
29,Utah Jazz*,82,19880,.475,11.2,,.831,.379,.101,.091,.259,.169,,.500,.614,.371,.422,.412,.349,,.609,.893,,.068,412,,.289,1057,,.205,.400,,9,0
30,Washington Wizards,82,19705,.450,11.9,,.820,.317,.154,.107,.242,.180,,.476,.614,.386,.383,.395,.330,,.506,.825,,.043,276,,.261,969,,.192,.326,,6,0
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks*,82,19855,.468,12.3,,.786,.296,.167,.087,.237,.214,,.497,.638,.435,.417,.394,.360,,.510,.828,,.057,366,,.219,855,,.388,.360,,18,1
2,Boston Celtics*,82,19780,.483,11.9,,.772,.339,.139,.107,.188,.228,,.523,.650,.419,.423,.425,.348,,.585,.890,,.036,206,,.299,1164,,.214,.339,,11,0
3,Charlotte Bobcats*,82,19880,.453,11.0,,.789,.408,.098,.080,.203,.211,,.482,.580,.398,.365,.372,.346,,.526,.861,,.056,302,,.333,1129,,.286,.378,,19,1
4,Chicago Bulls*,82,19905,.451,11.9,,.844,.331,.105,.108,.300,.156,,.474,.575,.432,.418,.398,.330,,.510,.884,,.049,302,,.255,915,,.308,.393,,9,0
5,Cleveland Cavaliers*,82,19780,.485,12.5,,.752,.339,.119,.080,.214,.248,,.520,.667,.443,.369,.387,.381,,.551,.762,,.073,427,,.248,966,,.329,.412,,12,1
6,Dallas Mavericks*,82,19880,.464,12.7,,.778,.282,.127,.142,.229,.222,,.491,.600,.422,.410,.444,.372,,.556,.864,,.038,235,,.224,853,,.221,.399,,13,0
7,Denver Nuggets*,82,19780,.468,12.0,,.773,.351,.110,.094,.218,.227,,.500,.623,.388,.400,.401,.359,,.503,.772,,.066,407,,.265,998,,.214,.400,,16,0
8,Detroit Pistons,82,19780,.445,11.8,,.820,.319,.125,.145,.230,.180,,.474,.588,.395,.414,.396,.314,,.490,.890,,.045,264,,.251,894,,.322,.334,,14,0
9,Golden State Warriors,82,19730,.469,13.3,,.762,.298,.113,.095,.256,.238,,.499,.651,.367,.393,.419,.375,,.481,.858,,.039,262,,.246,1063,,.253,.433,,20,0
10,Houston Rockets,82,19905,.447,12.0,,.735,.346,.134,.089,.165,.265,,.481,.572,.427,.382,.388,.351,,.507,.850,,.031,196,,.301,1125,,.240,.395,,15,0
11,Indiana Pacers,82,19705,.443,13.4,,.722,.280,.135,.098,.209,.278,,.479,.599,.425,.403,.390,.348,,.474,.926,,.034,216,,.237,911,,.189,.362,,11,0
12,Los Angeles Clippers,82,19705,.455,12.0,,.779,.341,.113,.117,.208,.221,,.490,.602,.458,.362,.394,.332,,.563,.814,,.046,281,,.267,992,,.225,.366,,19,0
13,Los Angeles Lakers*,82,19830,.457,12.1,,.773,.311,.150,.121,.191,.227,,.492,.597,.436,.426,.406,.341,,.497,.812,,.054,344,,.233,860,,.231,.382,,18,1
14,Memphis Grizzlies,82,19905,.469,10.5,,.852,.370,.168,.110,.203,.148,,.492,.605,.432,.383,.395,.337,,.433,.860,,.048,301,,.297,1145,,.223,.419,,25,2
15,Miami Heat*,82,19880,.458,13.0,,.781,.272,.114,.140,.256,.219,,.489,.641,.445,.393,.399,.346,,.461,.810,,.061,363,,.192,708,,.266,.389,,12,0
16,Milwaukee Bucks*,82,19980,.436,13.0,,.741,.288,.130,.114,.209,.259,,.464,.560,.411,.375,.413,.356,,.495,.851,,.029,184,,.231,853,,.285,.398,,9,1
17,Minnesota Timberwolves,82,19780,.449,11.5,,.829,.308,.166,.146,.210,.171,,.471,.606,.412,.390,.374,.341,,.475,.846,,.037,234,,.250,977,,.224,.358,,21,2
18,New Jersey Nets,82,19780,.429,11.4,,.819,.346,.126,.119,.229,.181,,.454,.568,.379,.365,.368,.318,,.496,.881,,.054,316,,.266,906,,.318,.361,,14,3
19,New Orleans Hornets,82,19830,.464,12.3,,.770,.318,.121,.127,.204,.230,,.495,.606,.432,.400,.418,.363,,.520,.828,,.031,188,,.265,1059,,.203,.423,,10,0
20,New York Knicks,82,19880,.455,13.4,,.688,.327,.087,.071,.203,.312,,.504,.614,.399,.414,.403,.346,,.479,.849,,.036,233,,.271,1070,,.204,.377,,13,1
21,Oklahoma City Thunder*,82,19805,.462,11.5,,.815,.332,.125,.135,.223,.185,,.490,.612,.430,.406,.393,.340,,.480,.883,,.064,389,,.247,878,,.232,.333,,7,0
22,Orlando Magic*,82,19730,.470,13.7,,.650,.301,.123,.082,.144,.350,,.521,.630,.468,.408,.405,.375,,.421,.837,,.057,345,,.224,818,,.282,.421,,23,0
23,Philadelphia 76ers,82,19805,.460,12.1,,.794,.311,.127,.146,.209,.206,,.491,.615,.427,.387,.416,.343,,.502,.865,,.061,392,,.231,840,,.251,.399,,22,1
24,Phoenix Suns*,82,19730,.492,12.5,,.739,.312,.135,.106,.185,.261,,.520,.637,.462,.440,.409,.412,,.509,.801,,.064,380,,.230,918,,.258,.443,,13,1
25,Portland Trail Blazers*,82,19855,.461,12.9,,.785,.286,.111,.133,.255,.215,,.490,.625,.425,.408,.410,.354,,.494,.910,,.044,263,,.217,825,,.342,.389,,27,0
26,Sacramento Kings,82,19880,.456,11.6,,.799,.327,.159,.094,.220,.201,,.483,.610,.385,.427,.388,.349,,.471,.882,,.037,231,,.265,1064,,.251,.418,,17,0
27,San Antonio Spurs*,82,19780,.473,12.2,,.768,.312,.146,.108,.203,.232,,.508,.649,.431,.388,.408,.358,,.514,.892,,.032,198,,.269,1105,,.370,.385,,11,0
28,Toronto Raptors,82,19780,.482,12.6,,.789,.308,.133,.111,.238,.211,,.512,.640,.453,.429,.419,.371,,.510,.842,,.052,307,,.238,946,,.215,.443,,36,2
29,Utah Jazz*,82,19755,.491,10.9,,.816,.383,.121,.092,.220,.184,,.519,.637,.422,.409,.415,.364,,.652,.841,,.064,375,,.297,1161,,.205,.453,,9,0
30,Washington Wizards,82,19830,.449,12.6,,.817,.279,.148,.116,.274,.183,,.471,.619,.359,.403,.408,.353,,.474,.775,,.043,277,,.221,821,,.233,.382,,14,0
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks*,82,19730,.462,13.5,,.778,.233,.175,.097,.274,.222,,.494,.649,.434,.390,.436,.352,,.550,.882,,.045,263,,.182,692,,.349,.380,,13,1
2,Boston Celtics*,82,19780,.486,12.1,,.820,.313,.140,.113,.254,.180,,.513,.674,.376,.445,.420,.365,,.597,.882,,.043,256,,.265,1041,,.260,.467,,8,0
3,Charlotte Bobcats,82,19805,.451,12.0,,.811,.334,.145,.097,.235,.189,,.480,.610,.354,.395,.410,.327,,.560,.860,,.045,242,,.275,995,,.187,.373,,18,0
4,Chicago Bulls*,82,19830,.462,12.5,,.785,.304,.151,.102,.229,.215,,.489,.638,.389,.404,.397,.361,,.548,.863,,.052,314,,.257,986,,.275,.373,,17,0
5,Cleveland Cavaliers,82,19755,.434,12.3,,.776,.296,.179,.097,.203,.224,,.461,.610,.355,.333,.398,.342,,.542,.847,,.051,312,,.239,874,,.234,.370,,7,0
6,Dallas Mavericks*,82,19705,.475,13.6,,.726,.240,.162,.125,.199,.274,,.516,.684,.407,.423,.461,.365,,.565,.905,,.053,321,,.181,723,,.293,.392,,18,1
7,Denver Nuggets*,82,19705,.476,12.3,,.742,.349,.133,.074,.186,.258,,.506,.633,.371,.378,.414,.388,,.497,.875,,.059,355,,.290,1122,,.286,.400,,17,1
8,Detroit Pistons,82,19880,.460,12.0,,.811,.307,.150,.132,.222,.189,,.479,.634,.376,.376,.396,.376,,.507,.892,,.043,246,,.249,987,,.365,.397,,18,1
9,Golden State Warriors,82,19830,.461,13.0,,.752,.276,.169,.093,.214,.248,,.484,.656,.370,.349,.412,.392,,.489,.866,,.048,317,,.212,925,,.295,.432,,19,1
10,Houston Rockets,82,19880,.454,12.9,,.736,.263,.203,.092,.177,.264,,.486,.644,.394,.405,.398,.367,,.553,.851,,.026,165,,.247,1063,,.227,.400,,15,0
11,Indiana Pacers*,82,19780,.442,13.2,,.756,.245,.182,.116,.213,.244,,.471,.627,.402,.397,.391,.354,,.450,.892,,.047,288,,.202,806,,.203,.394,,11,0
12,Los Angeles Clippers,82,19855,.457,12.1,,.770,.307,.199,.081,.183,.230,,.493,.664,.393,.369,.368,.338,,.548,.864,,.085,502,,.227,883,,.254,.319,,18,0
13,Los Angeles Lakers*,82,19830,.463,12.7,,.780,.256,.206,.118,.199,.220,,.494,.666,.428,.441,.373,.352,,.527,.819,,.046,287,,.206,878,,.286,.411,,22,1
14,Memphis Grizzlies*,82,19880,.471,10.8,,.864,.309,.244,.107,.204,.136,,.492,.660,.407,.398,.388,.334,,.488,.906,,.042,265,,.255,1071,,.267,.389,,25,0
15,Miami Heat*,82,19780,.481,13.7,,.765,.242,.155,.102,.267,.235,,.515,.695,.458,.403,.428,.370,,.479,.819,,.053,308,,.200,792,,.327,.435,,11,1
16,Milwaukee Bucks,82,19830,.430,12.8,,.784,.268,.165,.123,.227,.216,,.454,.585,.372,.381,.400,.342,,.480,.882,,.026,160,,.220,797,,.299,.395,,11,0
17,Minnesota Timberwolves,82,19780,.441,12.7,,.777,.241,.233,.099,.204,.223,,.459,.611,.387,.391,.395,.376,,.476,.779,,.034,207,,.195,780,,.204,.458,,27,1
18,New Jersey Nets,82,20005,.440,12.8,,.799,.236,.213,.123,.227,.201,,.464,.606,.422,.384,.398,.343,,.550,.808,,.052,307,,.189,677,,.272,.353,,18,1
19,New Orleans Hornets*,82,19830,.459,12.8,,.808,.223,.213,.136,.237,.192,,.482,.657,.401,.402,.436,.360,,.523,.863,,.036,210,,.192,747,,.322,.370,,13,2
20,New York Knicks*,82,19780,.457,13.5,,.697,.265,.166,.086,.179,.303,,.496,.665,.377,.382,.411,.368,,.475,.821,,.054,349,,.206,860,,.270,.424,,12,0
21,Oklahoma City Thunder*,82,20005,.464,12.5,,.788,.284,.159,.126,.218,.212,,.495,.686,.354,.404,.403,.347,,.488,.848,,.072,443,,.208,825,,.187,.354,,11,0
22,Orlando Magic*,82,19830,.461,14.1,,.672,.253,.158,.096,.164,.328,,.507,.671,.405,.411,.411,.366,,.454,.835,,.065,388,,.181,692,,.243,.367,,18,1
